timestamp,protocol,length,src_ip,dst_ip,src_port,dst_port,tcp_flags,anomaly
1757465611.125339,11,666,172.16.81.49,52.96.189.2,50245,443,24,1
1757465612.317175,1,1174,104.26.11.240,172.16.81.49,0,0,0,1
1757465612.317178,1,966,104.26.11.240,172.16.81.49,0,0,0,1
1757465612.410308,1,1153,104.26.11.240,172.16.81.49,0,0,0,1
1757465618.676138,1,871,104.26.11.240,172.16.81.49,0,0,0,1
1757465618.68118,1,1153,104.26.11.240,172.16.81.49,0,0,0,1
1757465625.604952,1,1229,142.251.16.139,172.16.81.49,0,0,0,1
1757465629.629561,1,1053,104.26.11.240,172.16.81.49,0,0,0,1
1757465630.62531,11,77,34.158.255.62,172.16.81.49,80,64103,24,1
1757465639.587489,1,1166,142.251.16.139,172.16.81.49,0,0,0,1
1757465653.594519,11,1454,172.16.81.49,172.64.155.209,49320,443,24,1
1757465662.658901,11,1032,172.16.81.49,172.64.155.209,49322,443,24,1
1757465669.611525,1,1292,142.251.16.139,172.16.81.49,0,0,0,1
1757465670.587771,1,1139,142.251.16.139,172.16.81.49,0,0,0,1
1757465690.554161,11,77,34.158.255.62,172.16.81.49,80,64103,24,1
1757465691.599401,1,1285,172.16.81.49,142.251.16.139,0,0,0,1
1757465691.599426,1,1292,172.16.81.49,142.251.16.139,0,0,0,1
1757465691.599428,1,1292,172.16.81.49,142.251.16.139,0,0,0,1
1757465691.599429,1,1026,172.16.81.49,142.251.16.139,0,0,0,1
1757465691.623473,1,1292,142.251.16.139,172.16.81.49,0,0,0,1
1757465691.623474,1,1292,142.251.16.139,172.16.81.49,0,0,0,1
1757465691.623554,1,824,142.251.16.139,172.16.81.49,0,0,0,1
1757465691.653282,1,1197,142.251.16.139,172.16.81.49,0,0,0,1
1757465691.780321,1,1292,142.251.16.139,172.16.81.49,0,0,0,1
1757465691.82705,1,1292,142.251.16.139,172.16.81.49,0,0,0,1
1757465696.590734,11,1466,172.16.81.49,172.253.63.94,49330,443,24,1
1757465704.594376,1,1292,142.251.16.139,172.16.81.49,0,0,0,1
1757465706.879845,11,786,172.16.81.49,34.158.255.62,64103,80,24,1
1757465710.808212,11,106,17.248.228.64,172.16.81.49,443,50972,24,1
1757465711.601972,1,1191,142.251.16.139,172.16.81.49,0,0,0,1
1757465724.638142,11,1353,172.16.81.49,172.64.148.235,49345,443,24,1
1757465728.339178,11,992,172.16.81.49,140.82.112.3,49349,443,24,1
1757465728.899929,11,662,172.16.81.49,52.123.128.14,50973,443,24,1
1757465730.820914,11,1490,172.16.81.49,140.82.112.21,49348,443,24,1
1757465732.765005,11,1490,172.16.81.49,140.82.112.21,49348,443,24,1
1757465745.590244,1,1292,142.251.16.139,172.16.81.49,0,0,0,1
1757465746.591617,1,1292,142.251.16.139,172.16.81.49,0,0,0,1
1757465750.593923,11,1466,172.16.81.49,172.253.63.94,49365,443,24,1
1757465751.59032,1,1285,172.16.81.49,142.251.16.139,0,0,0,1
1757465751.590362,1,1292,172.16.81.49,142.251.16.139,0,0,0,1
1757465751.590364,1,1292,172.16.81.49,142.251.16.139,0,0,0,1
1757465751.590367,1,1039,172.16.81.49,142.251.16.139,0,0,0,1
1757465751.638907,11,1466,172.16.81.49,142.251.163.139,49203,443,24,1
1757465751.704555,1,1260,142.251.16.139,172.16.81.49,0,0,0,1
1757465751.941885,1,1039,142.251.16.139,172.16.81.49,0,0,0,1
1757465765.237548,11,141,172.16.81.49,34.224.147.117,62755,443,24,1
1757465765.241095,11,141,172.16.81.49,34.224.147.117,62758,443,24,1
1757465765.559284,11,141,172.16.81.49,34.224.147.117,62755,443,24,1
1757465765.573597,11,195,172.16.81.49,34.224.147.117,62758,443,24,1
1757465765.672291,11,129,172.16.81.49,34.120.52.64,65485,443,24,1
1757465765.90357,11,129,172.16.81.49,34.120.52.64,65485,443,24,1
1757465765.999874,11,141,172.16.81.49,34.224.147.117,62755,443,24,1
1757465766.039163,11,195,172.16.81.49,34.224.147.117,62758,443,24,1
1757465766.075871,11,122,34.224.147.117,172.16.81.49,443,62758,24,1
1757465766.075874,11,122,34.224.147.117,172.16.81.49,443,62758,24,1
1757465766.116383,11,176,34.120.52.64,172.16.81.49,443,65485,24,1
1757465766.11962,11,176,34.120.52.64,172.16.81.49,443,65485,24,1
1757465766.990463,11,77,34.158.255.62,172.16.81.49,80,64103,24,1
1757465779.588126,1,1276,142.251.16.139,172.16.81.49,0,0,0,1
1757465787.5915,1,1292,142.251.16.139,172.16.81.49,0,0,0,1
1757465789.38279,11,1454,172.16.81.49,104.18.32.47,49378,443,24,1
1757465792.173696,11,506,104.18.32.47,172.16.81.49,443,49380,24,1
1757465810.56849,11,77,34.158.255.62,172.16.81.49,80,64103,24,1
1757465814.456323,11,136,172.16.81.49,138.197.228.15,64054,443,24,1
1757465819.590664,1,1207,142.251.16.139,172.16.81.49,0,0,0,1
1757465822.366939,11,74,0.0.0.0,0.0.0.0,62718,52130,4,1
1757465822.392611,11,98,0.0.0.0,0.0.0.0,52132,62718,194,1
1757465822.3929,11,98,0.0.0.0,0.0.0.0,62718,52132,18,1
1757465822.480531,11,98,0.0.0.0,0.0.0.0,52132,62718,2,1
1757465822.480766,11,98,0.0.0.0,0.0.0.0,62718,52132,18,1
1757465826.675381,1,1210,142.251.16.139,172.16.81.49,0,0,0,1
1757465826.675383,1,1149,142.251.16.139,172.16.81.49,0,0,0,1
1757465853.126294,11,1119,172.16.81.49,104.18.32.47,49391,443,24,1
1757465853.795414,11,521,172.16.81.49,52.123.128.14,50973,443,24,1
1757465853.795415,11,521,172.16.81.49,52.123.128.14,50973,443,24,1
1757465859.595242,1,1292,142.251.16.139,172.16.81.49,0,0,0,1
1757465867.622234,1,1292,142.251.16.139,172.16.81.49,0,0,0,1
1757465870.715716,11,77,34.158.255.62,172.16.81.49,80,64103,24,1
1757465870.715718,11,77,34.158.255.62,172.16.81.49,80,64103,24,1
1757465871.677005,1,1285,172.16.81.49,142.251.16.139,0,0,0,1
1757465871.677026,1,1292,172.16.81.49,142.251.16.139,0,0,0,1
1757465871.677033,1,1292,172.16.81.49,142.251.16.139,0,0,0,1
1757465871.677035,1,1292,172.16.81.49,142.251.16.139,0,0,0,1
1757465871.725799,1,1285,172.16.81.49,142.251.16.139,0,0,0,1
1757465871.793695,1,1292,142.251.16.139,172.16.81.49,0,0,0,1
1757465871.978961,1,1287,142.251.16.139,172.16.81.49,0,0,0,1
1757465871.978963,1,1292,142.251.16.139,172.16.81.49,0,0,0,1
1757465871.980823,1,1292,142.251.16.139,172.16.81.49,0,0,0,1
1757465871.980824,1,1292,142.251.16.139,172.16.81.49,0,0,0,1
1757465871.980825,1,1103,142.251.16.139,172.16.81.49,0,0,0,1
1757465881.522158,11,1490,172.16.81.49,140.82.113.6,49408,443,24,1
1757465881.722728,11,322,140.82.113.3,172.16.81.49,443,49402,24,1
