src_ip,dst_ip,protocol,count
142.251.16.139,172.16.81.49,1,29
172.16.81.49,142.251.16.139,1,13
104.26.11.240,172.16.81.49,1,6
34.158.255.62,172.16.81.49,11,6
172.16.81.49,34.224.147.117,11,6
0.0.0.0,0.0.0.0,11,5
172.16.81.49,52.123.128.14,11,3
34.120.52.64,172.16.81.49,11,2
172.16.81.49,34.120.52.64,11,2
172.16.81.49,172.64.155.209,11,2
172.16.81.49,172.253.63.94,11,2
34.224.147.117,172.16.81.49,11,2
172.16.81.49,140.82.112.21,11,2
172.16.81.49,104.18.32.47,11,2
104.18.32.47,172.16.81.49,11,1
172.16.81.49,140.82.113.6,11,1
172.16.81.49,172.64.148.235,11,1
172.16.81.49,140.82.112.3,11,1
172.16.81.49,34.158.255.62,11,1
172.16.81.49,138.197.228.15,11,1
172.16.81.49,52.96.189.2,11,1
17.248.228.64,172.16.81.49,11,1
140.82.113.3,172.16.81.49,11,1
172.16.81.49,142.251.163.139,11,1
