timestamp,protocol,length,src_ip,dst_ip,src_port,dst_port,tcp_flags
1757465608.975549,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465609.180403,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465609.487569,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465609.999442,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465610.205651,TLS,91,208.103.161.1,172.16.81.49,0,0,24
1757465610.206397,TCP,66,172.16.81.49,208.103.161.1,65227,443,16
1757465610.208769,TLS,95,172.16.81.49,208.103.161.1,0,0,24
1757465610.221179,TCP,66,208.103.161.1,172.16.81.49,443,65227,16
1757465610.511424,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465610.511426,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465610.512739,TLS,152,142.251.16.95,172.16.81.49,0,0,24
1757465610.512977,TCP,66,172.16.81.49,142.251.16.95,49196,443,16
1757465610.514739,TLS,101,172.16.81.49,142.251.16.95,0,0,24
1757465610.514833,TLS,101,172.16.81.49,142.251.16.95,0,0,24
1757465610.526457,TCP,66,142.251.16.95,172.16.81.49,443,49196,16
1757465610.526459,TCP,66,142.251.16.95,172.16.81.49,443,49196,16
1757465610.596218,TCP,78,172.16.81.49,54.187.159.182,49306,443,2
1757465610.596489,TCP,54,172.16.81.49,18.97.36.68,62705,443,16
1757465610.678094,TCP,66,18.97.36.68,172.16.81.49,443,62705,16
1757465610.748728,TCP,74,54.187.159.182,172.16.81.49,443,49306,18
1757465610.749016,TCP,66,172.16.81.49,54.187.159.182,49306,443,16
1757465610.749782,TLS,1514,172.16.81.49,54.187.159.182,0,0,16
1757465610.749812,TLS,644,172.16.81.49,54.187.159.182,0,0,24
1757465610.763274,TCP,66,172.16.81.49,172.253.63.94,49305,443,17
1757465610.776296,TCP,66,172.253.63.94,172.16.81.49,443,49305,17
1757465610.77663,TCP,66,172.16.81.49,172.253.63.94,49305,443,16
1757465610.834696,TCP,66,54.187.159.182,172.16.81.49,443,49306,16
1757465610.834698,TCP,66,54.187.159.182,172.16.81.49,443,49306,16
1757465610.834699,TLS,1514,54.187.159.182,172.16.81.49,0,0,16
1757465610.8347,TLS,1297,54.187.159.182,172.16.81.49,0,0,24
1757465610.834985,TCP,66,172.16.81.49,54.187.159.182,49306,443,16
1757465610.836088,TLS,159,172.16.81.49,54.187.159.182,0,0,24
1757465610.836425,TLS,165,172.16.81.49,54.187.159.182,0,0,24
1757465610.837473,TLS,672,172.16.81.49,54.187.159.182,0,0,24
1757465610.837565,TLS,1491,172.16.81.49,54.187.159.182,0,0,24
1757465610.918754,TLS,340,54.187.159.182,172.16.81.49,0,0,24
1757465610.918756,TLS,135,54.187.159.182,172.16.81.49,0,0,24
1757465610.918757,TLS,104,54.187.159.182,172.16.81.49,0,0,24
1757465610.918948,TCP,66,172.16.81.49,54.187.159.182,49306,443,16
1757465610.91904,TCP,66,172.16.81.49,54.187.159.182,49306,443,16
1757465610.919385,TLS,104,172.16.81.49,54.187.159.182,0,0,24
1757465610.921129,TLS,108,54.187.159.182,172.16.81.49,0,0,24
1757465610.921189,TCP,66,172.16.81.49,54.187.159.182,49306,443,16
1757465610.924298,TLS,307,54.187.159.182,172.16.81.49,0,0,24
1757465610.92436,TCP,66,172.16.81.49,54.187.159.182,49306,443,16
1757465611.0236,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465611.042461,TCP,66,54.187.159.182,172.16.81.49,443,49306,16
1757465611.09658,TCP,66,172.16.81.49,54.187.159.182,49306,443,17
1757465611.125205,TLS,1514,172.16.81.49,52.96.189.2,0,0,16
1757465611.125339,TCP,666,172.16.81.49,52.96.189.2,50245,443,24
1757465611.12539,TCP,1514,172.16.81.49,52.96.189.2,50245,443,16
1757465611.125407,TLS,337,172.16.81.49,52.96.189.2,0,0,24
1757465611.125791,TLS,217,172.16.81.49,52.96.189.2,0,0,24
1757465611.185842,TCP,66,54.187.159.182,172.16.81.49,443,49306,17
1757465611.186162,TCP,66,172.16.81.49,54.187.159.182,49306,443,16
1757465611.200935,TCP,66,52.96.189.2,172.16.81.49,443,50245,16
1757465611.200938,TCP,66,52.96.189.2,172.16.81.49,443,50245,16
1757465611.228424,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465611.258748,TLS,124,52.96.189.2,172.16.81.49,0,0,24
1757465611.25875,TLS,108,52.96.189.2,172.16.81.49,0,0,24
1757465611.258751,TLS,108,52.96.189.2,172.16.81.49,0,0,24
1757465611.258752,TLS,108,52.96.189.2,172.16.81.49,0,0,24
1757465611.258752,TLS,361,52.96.189.2,172.16.81.49,0,0,24
1757465611.258753,TLS,122,52.96.189.2,172.16.81.49,0,0,24
1757465611.259334,TCP,66,172.16.81.49,52.96.189.2,50245,443,16
1757465611.262008,TLS,288,52.96.189.2,172.16.81.49,0,0,24
1757465611.262009,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.26201,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.26201,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262011,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262011,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262012,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262012,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262013,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262014,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262014,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262014,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262015,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262015,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262016,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262016,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262017,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262017,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262018,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262018,TLS,108,52.96.189.2,172.16.81.49,0,0,24
1757465611.262019,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262019,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.26202,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.26202,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262021,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262021,TLS,140,52.96.189.2,172.16.81.49,0,0,24
1757465611.262022,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262022,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262023,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262023,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262024,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262025,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262025,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262026,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.26262,TCP,66,172.16.81.49,52.96.189.2,50245,443,16
1757465611.262981,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262982,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262983,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262983,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262983,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262984,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262984,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262985,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262985,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262986,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262987,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262987,TLS,140,52.96.189.2,172.16.81.49,0,0,24
1757465611.262988,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262988,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262989,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262989,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262989,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.26299,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.26299,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262991,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262991,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262992,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262992,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262993,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262993,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262994,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262994,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262994,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262995,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262995,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262996,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262996,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262997,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262997,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.262997,TLS,105,52.96.189.2,172.16.81.49,0,0,24
1757465611.263644,TCP,66,172.16.81.49,52.96.189.2,50245,443,16
1757465611.265314,TLS,105,52.96.189.2,172.16.81.49,0,0,24
